Searching for Endgrame Reversals (Massive & Late-Game)...
[Endgame] 89722342.sgf (W:B) Low:0.17@216 -> Rev@239 (Len:350)
[Endgame] 89724847.sgf (W:B) Low:0.37@232 -> Rev@234 (Len:303)
[Endgame] 89722809.sgf (W:B) Low:0.11@206 -> Rev@231 (Len:303)
Processed 2000...
[Endgame] 89723417.sgf (W:W) Low:0.21@182 -> Rev@252 (Len:320)
[Endgame] 89723131.sgf (W:B) Low:0.36@201 -> Rev@221 (Len:302)
[Endgame] 89723210.sgf (W:B) Low:0.34@197 -> Rev@239 (Len:363)
[Endgame] 89723723.sgf (W:B) Low:0.23@205 -> Rev@217 (Len:341)
[Endgame] 89723645.sgf (W:W) Low:0.20@186 -> Rev@207 (Len:310)

Total Reversals Found: 111
